"officer_badge_number","officer_name"
"5729","Patricia Thompkins"
"6181","Thomas Prentice"
"10351","Michael Bono"
"9401","Jason Randolph-Phillips"
"9386","Bradley Smith"
"9362","Adrienne Blake"
"9994","Michael Slay"
"9570","Michael Carr"
"10184","Brian Price"
"9630","Andre Lawson"
"8783","Christopher Klein"
"9863","Albert Alvarez"
"10844","Gerardo Munoz"
"9332","Ruth Fink"
"9694","Matthew Rushing"
"10652","Jared Waddle"
"5909","Stanley Reed Jr"
"10934","Rogelio Santander"
"10790","Sergio Longoria"
"6585","Kevin Keim"
"9587","Noel Moore"
"10690","Derek Williams"
"6060","Michael Shaw"
"9214","Neil Becker"
"10362","Lamar Glass"
"10641","Jonathan Sherman"
"10878","Destiny Bailey"
"6743","Yvonne Abrom"
"8427","Jabari Howard"
"5908","Kevin Willis"
"9910","Jeffrey Labarba"
"4928","Scott Whitemyer"
"8858","David Coffie"
"6749","Andrew Schultz"
"10217","Brandon Koch"
"8905","Michael Westphal"
"10280","Karen Eguia"
"10541","Amber Roman"
"5148","Roosevelt Holiday"
"10462","Jeanette Kelly"
"9309","Timothy Cordova"
"8315","Keith Geissler"
"5900","Ricky Adams"
"8133","Cory Adams"
"10318","Justin Moore"
"9663","Michael Lawter"
"6870","Toni Jarvis"
"10916","Brian Davis"
"9844","Gary Smith Jr"
"9423","Jack Jernigan"
"10215","Rachel Valarezo"
"6607","Jeffrey Jacobs"
"10753","Justin Johnson"
"8137","Brian Jones"
"10500","Will Hutchins"
"9879","Bradley Hanlon"
"10364","Marcel Gotzmann"
"3162","Fernando Moncibais"
"10313","Andrew Knoebel"
"8952","Sharifa Williams"
"7026","Kathryn Harris"
"10761","Adrian Mcneal"
"6981","Brad Williams"
"10294","Robert Wright"
"6469","Michael Dana"
"7552","Michael Yarbrough"
"8882","Terran Dickerson"
"10565","Alexander Zabriskie"
"10605","Bethany Knutson"
"7001","Marco Salais"
"9809","James St Clair Jr"
"10811","Nicholas Stolarzyk"
"6700","George Francis Jr"
"10856","Sean Ryan"
"10826","Ryan Hoffman"
"9884","Victor Guzman"
"10638","Kelly Kaltenbacher"
"9000","Jose Bernal"
"10658","Jean Valentin-Bello"
"9413","Hiram Soler"
"7145","Percy Trimble Jr"
"9648","Colwin Dennis"
"10303","Ashley Oliver"
"10822","Kristopher Trotter"
"8642","Paul Loughridge"
"10161","Tinisha Blanton"
"8895","Michael Fontenot"
"10519","Cathy Odhiambo"
"10793","Kevin Sund"
"10807","Justin Preibisius"
"9458","Daniel Malouf"
"10792","Bianca Dennis"
"8909","Karlon Bedford"
"10879","Keith Dibble"
"8185","Latricia Rodgers"
"R040","Gary Miller"
"10951","Deantae Lynwood"
"10428","Penelope Bernal"
"6835","David Gomez"
"9487","Tyler Waterhouse"
"10877","Mark Turpin"
"10682","Christina Vandergriff"
"7741","Corey Parker"
"10931","Joseph Rogers"
"10409","Israel Marquez"
"5750","Donna Ross"
"10846","Miguel Cisneros"
"9770","Jared Pomponio"
"7590","A D Matthews"
"9307","Marqus Mccuin"
"9829","Brandi Woodin"
"10219","Michael Coggins"
"7744","Yolanda Cotton"
"8940","Christopher Larue"
"7584","Shelby Nowak-Chacon"
"10093","Talmadge Markham"
"9197","Michael Perry"
"10940","James Hudson"
"10289","Manuel Ortiz"
"10867","Lakesha Hardeman"
"9250","Mitchell Bieker"
"10613","Sean Robinson"
"10481","Ezekiel Rubio"
"10181","Ebony Harris"
"10718","Cindy Armstrong"
"9948","Anthony Colon"
"9636","John Boucher"
"10228","Darrell Stevens"
"8065","Dean Winfield"
"9248","Jason Carr"
"9699","Mario Cantu"
"7466","Nathan Kisner"
"9903","William Hughes Jr."
"10910","Craig Turner"
"5187","Thomas Schaeffer"
"10882","Lauri Gutierrez"
