"Incident Number","date","time","hour","Officers Involved","Officers.Race","Officers.Ethnicity","Officers.Sex","UOF.Level","Offenders.Race","Offenders.Ethnicity","Offenders.Sex","Binning Number of Officers"
"2009-00448934","09/21/2009","05:44:00","AM",1,"White","Non-hispanic","Male","1","Black","Non-hispanic","Male","1"
"2012-00467634","11/12/2012","02:46:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","White","Non-hispanic","Male","3+"
"2012-00220969","05/26/2012","03:12:00","AM",1,"White","Non-hispanic","Male","2",NA,"Non-hispanic",NA,"1"
"2012-00291837","07/13/2012","08:27:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2",NA,"Non-hispanic",NA,"2"
"2009-00111746","03/09/2009","08:02:00","AM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2011-00242986","06/02/2011","01:16:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","White","Non-hispanic","Male","2"
"2013-00044908","01/31/2013","02:42:00","AM",3,"Black;White;White","Hispanic;Non-hispanic;Non-hispanic","Male;Female;Male","1",NA,"Non-hispanic",NA,"3+"
"2012-00229118","05/31/2012","04:05:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2",NA,"Non-hispanic",NA,"2"
"2010-00562582","12/02/2010","04:21:00","AM",5,"White;White;White;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2013-00404843","09/27/2013","10:36:00","PM",2,"White;White","Hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2012-00185847","05/03/2012","02:26:00","AM",1,"White","Non-hispanic","Male","2",NA,"Non-hispanic",NA,"1"
"2010-00592301","12/22/2010","02:23:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Female","2"
"2011-00399946","09/08/2011","10:13:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2010-00375858","08/11/2010","12:01:00","AM",2,"Asian;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2014-00117268","03/20/2014","04:33:00","PM",1,"White","Non-hispanic","Male","2",NA,"Non-hispanic",NA,"1"
"2014-00180123","05/01/2014","02:15:00","AM",1,"White","Non-hispanic","Male","2","White","Non-hispanic","Male","1"
"2011-00059283","02/07/2011","12:39:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","White","Hispanic","Male","2"
"2013-00414279","10/04/2013","12:45:00","AM",3,NA,"Non-hispanic;Non-hispanic;Hispanic","Male;Female;Male","2","Black","Non-hispanic","Male","3+"
"2010-00169618","04/11/2010","03:19:00","PM",1,"White","Non-hispanic","Male","2",NA,"Hispanic","Male","1"
"2017-00178568","05/08/2017","12:14:00","AM",3,"White;Asian;White","Non-hispanic;Non-hispanic;Hispanic","Male;Male;Female","1","White","Non-hispanic","Male","3+"
"2010-00260226","06/03/2010","08:05:00","AM",2,"White;White","Non-hispanic;Hispanic","Male;Male","1","Black","Non-hispanic","Male","2"
"2014-00191878","05/08/2014","03:18:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","White","Non-hispanic","Male","2"
"2009-00445641","09/18/2009","10:56:00","PM",4,"White;White;White;White","Hispanic;Non-hispanic;Non-hispanic;Hispanic","Male;Female;Female;Male","2","Black","Non-hispanic","Male","3+"
"2017-00398208","10/10/2017","08:46:00","AM",2,"White;Black","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2016-00137331","04/02/2016","08:39:00","PM",3,"White;Black;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","1","Black","Non-hispanic","Male","3+"
"2013-00270132","07/01/2013","08:40:00","PM",2,"Asian;White","Non-hispanic;Non-hispanic","Male;Male","1","White","Non-hispanic","Male","2"
"2017-00180797","05/09/2017","01:11:00","PM",4,NA,"Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2010-00063401","02/08/2010","12:55:00","AM",1,"White","Non-hispanic","Male","2","White","Non-hispanic","Male","1"
"2011-00438461","10/03/2011","10:22:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2011-00528627","12/01/2011","11:08:00","PM",1,"White","Non-hispanic","Male","2","White","Hispanic","Male","1"
"2010-00575041","12/10/2010","01:51:00","PM",2,"Black;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2009-00377390","08/08/2009","10:22:00","PM",2,"Asian;White","Non-hispanic;Non-hispanic","Male;Male","1","White","Non-hispanic","Male","2"
"2016-00074304","02/20/2016","05:02:00","PM",4,"White;White;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2013-00473094","11/11/2013","06:43:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Female","2","Black","Non-hispanic","Male","2"
"2014-00216749","05/24/2014","10:37:00","AM",1,"White","Non-hispanic","Male","2",NA,"Non-hispanic",NA,"1"
"2012-00408199","10/02/2012","12:24:00","PM",2,"Black;Black","Non-hispanic;Non-hispanic","Male;Male","2",NA,"Non-hispanic",NA,"2"
"2011-00259281","06/12/2011","02:50:00","AM",1,"Black","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2014-00372712","09/06/2014","02:40:00","AM",3,"Asian;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2",NA,"Non-hispanic",NA,"3+"
"2010-00590429","12/20/2010","11:27:00","PM",2,"Asian;White","Non-hispanic;Non-hispanic","Male;Male","1","White","Non-hispanic","Male","2"
"2016-00193342","05/10/2016","07:15:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","White","Non-hispanic","Male","2"
"2010-00326005","07/11/2010","02:44:00","AM",4,"White;White;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Female;Male","2","Black;Black","Non-hispanic;Non-hispanic","Female;Male","3+"
"2009-00109526","03/07/2009","08:20:00","PM",2,"White;White","Hispanic;Non-hispanic","Male;Male","2","Black;Black","Non-hispanic;Non-hispanic","Male;Male","2"
"2009-00265658","06/06/2009","01:41:00","AM",1,"White","Non-hispanic","Female","2","Black","Non-hispanic","Male","1"
"2013-00403348","09/26/2013","11:33:00","PM",1,"White","Non-hispanic","Male","1","White","Non-hispanic","Male","1"
"2014-00078310","02/23/2014","02:56:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Female;Male","2","White","Hispanic","Female","2"
"2017-00371413","09/21/2017","07:39:00","AM",7,"White;Asian;White;White;White;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Hispanic;Non-hispanic;","Male;Male;Female;Male;Male;Male;Male","1","White","Non-hispanic","Male","3+"
"2010-00211757","05/06/2010","01:17:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Female","2","White","Hispanic","Male","2"
"2012-00497639","12/02/2012","10:35:00","PM",1,"White","Non-hispanic","Male","2","White","Non-hispanic","Male","1"
"2010-00097564","02/28/2010","01:25:00","AM",3,"White;Asian;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","White;White","Non-hispanic;Non-hispanic","Male;Male","3+"
"2009-00518695","11/01/2009","02:46:00","AM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2015-00333050","08/15/2015","03:01:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","White","Hispanic","Male","2"
"2014-00423755","10/11/2014","12:04:00","AM",1,"White","Non-hispanic","Male","2",NA,"Non-hispanic",NA,"1"
"2009-00569126","12/02/2009","06:02:00","AM",1,"White","Hispanic","Male","2","Black","Non-hispanic","Male","1"
"2010-00467558","10/03/2010","07:31:00","PM",6,"White;White;White;Asian;White;White","Non-hispanic;Hispanic;Non-hispanic;Non-hispanic;Hispanic;","Male;Male;Male;Male;Male;Male","2","White;White","Hispanic;Hispanic","Male;Male","3+"
"2013-00325387","08/08/2013","02:35:00","AM",1,"White","Non-hispanic","Male","2",NA,"Non-hispanic",NA,"1"
"2012-00053528","02/06/2012","02:09:00","AM",3,"White;Black;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","White;White","Non-hispanic;Non-hispanic","Female;Female","3+"
"2013-00308682","07/28/2013","01:39:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2",NA,"Non-hispanic",NA,"2"
"2012-00491856","11/28/2012","09:27:00","PM",6,"White;White;White;White;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic;","Female;Male;Male;Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2012-00322718","08/04/2012","08:27:00","AM",2,"Black;White","Non-hispanic;Non-hispanic","Male;Male","1",NA,"Non-hispanic",NA,"2"
"2009-00605694","12/24/2009","11:29:00","AM",2,"Black;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Female","2"
"2011-00057942","02/05/2011","11:38:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic",NA,"2"
"2011-00024129","01/16/2011","01:36:00","AM",2,"White;White","Non-hispanic;Hispanic","Male;Male","2","White","Non-hispanic","Male","2"
"2017-00159015","04/24/2017","07:06:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","1","Black","Non-hispanic","Female","3+"
"2011-00216516","05/16/2011","01:04:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2",NA,"Non-hispanic",NA,"2"
"2016-00439267","10/30/2016","04:13:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Female","2","White","Non-hispanic","Male","3+"
"2017-00059630","02/12/2017","10:04:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black;Black","Non-hispanic;Non-hispanic","Female;Female","2"
"2010-00243638","05/25/2010","12:40:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2013-00414373","10/03/2013","02:59:00","AM",3,"White;Black;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Female","2","Black","Non-hispanic","Male","3+"
"2011-00084339","02/22/2011","05:43:00","AM",1,"White","Non-hispanic","Male","1","White","Hispanic","Male","1"
"2011-00202413","05/06/2011","11:01:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","White","Non-hispanic","Female","2"
"2014-00142536","04/07/2014","02:36:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Female","2",NA,"Non-hispanic",NA,"2"
"2010-00209937","05/05/2010","02:27:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Female;Male;Male","2","Black;Black","Non-hispanic;Non-hispanic","Female;Female","3+"
"2014-00150787","04/12/2014","03:36:00","AM",1,"White","Non-hispanic","Male","2","White","Non-hispanic","Male","1"
"2009-00603789","12/23/2009","02:59:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","White","Non-hispanic","Male","2"
"2013-00362477","08/31/2013","05:38:00","PM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2",NA,"Non-hispanic",NA,"3+"
"2012-00506494","12/08/2012","10:38:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2015-00216358","05/26/2015","07:21:00","PM",4,"White;Black;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male;Male","1","White","Non-hispanic","Male","3+"
"2010-00121037","03/14/2010","12:46:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2013-00392112","09/19/2013","01:47:00","PM",1,"White","Hispanic","Male","","Black","Non-hispanic","Female","1"
"2016-00487166","12/04/2016","12:48:00","PM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2009-00367071","08/03/2009","01:23:00","AM",2,"White;White","Non-hispanic;Hispanic","Male;Male","1","Black","Non-hispanic","Male","2"
"2009-00516536","10/30/2009","10:38:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Female","1","White","Non-hispanic","Female","2"
"2016-00314310","08/04/2016","02:14:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2010-00450877","09/23/2010","12:53:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2009-00060719","02/07/2009","03:00:00","AM",2,"Black;Black","Non-hispanic;Non-hispanic","Male;Male","2",NA,"Non-hispanic",NA,"2"
"2013-00395354","09/21/2013","02:39:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2",NA,"Non-hispanic",NA,"2"
"2013-00470957","11/10/2013","02:19:00","AM",1,"White","Hispanic","Male","2","White","Non-hispanic","Male","1"
"2013-00269011","07/01/2013","02:36:00","AM",3,"White;White;Black","Non-hispanic;Non-hispanic;Non-hispanic","Male;Female;Male","2","White","Non-hispanic","Male","3+"
"2009-00339011","07/17/2009","09:04:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","White","Hispanic","Male","2"
"2011-00392874","09/04/2011","04:04:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Female","1","White","Non-hispanic","Male","2"
"2015-00200388","05/16/2015","01:20:00","AM",1,"White","Non-hispanic","Male","2",NA,"Non-hispanic",NA,"1"
"2015-00045280","02/01/2015","06:01:00","AM",2,"Black;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2011-00313414","07/16/2011","03:00:00","AM",1,"White","Non-hispanic","Male","2","White","Non-hispanic","Male","1"
"2012-00455016","11/02/2012","06:58:00","PM",1,"White","Non-hispanic","Male","2","White","Non-hispanic","Male","1"
"2010-00450789","09/22/2010","11:39:00","PM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2013-00080110","02/23/2013","01:42:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2",NA,"Non-hispanic",NA,"2"
"2013-00367599","09/04/2013","03:20:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2",NA,"Non-hispanic",NA,"3+"
"2010-00386863","08/17/2010","12:23:00","PM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2014-00508852","12/10/2014","04:16:00","PM",1,"Black","Non-hispanic","Male","2",NA,"Non-hispanic",NA,"1"
"2012-00267416","06/27/2012","03:11:00","AM",3,"White;White;Black","Non-hispanic;Hispanic;Non-hispanic","Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2011-00540219","12/10/2011","02:30:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","White","Non-hispanic","Male","2"
"2016-00001527","01/02/2016","02:26:00","AM",4,"White;White;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male;Male","2","White;White","Hispanic;Hispanic","Male;Male","3+"
"2009-00072644","02/14/2009","02:25:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","","White","Non-hispanic","Male","3+"
"2011-00303742","07/10/2011","01:47:00","AM",4,"White;White;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2011-00224347","05/20/2011","07:50:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2015-00317262","08/04/2015","03:17:00","PM",3,"White;White;White","Non-hispanic;Hispanic;Hispanic","Male;Male;Male","2","White","Non-hispanic","Male","3+"
"2017-00352629","09/08/2017","01:47:00","AM",1,"White","Non-hispanic","Male","1","Black","Non-hispanic","Male","1"
"2010-00476856","10/09/2010","02:47:00","AM",3,"White;White;White","Hispanic;Hispanic;Non-hispanic","Male;Male;Male","2","White","Hispanic","Male","3+"
"2014-00028386","01/20/2014","03:47:00","PM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","1","White","Hispanic","Male","3+"
"2012-00152309","04/10/2012","01:27:00","PM",1,"Black","Non-hispanic","Male","1","White","Hispanic","Male","1"
"2012-00444005","10/26/2012","09:05:00","AM",1,"White","Non-hispanic","Male","2","White","Non-hispanic","Male","1"
"2013-00402907","09/26/2013","05:03:00","PM",6,"White;White;White;White;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Hispanic;Non-hispanic;","Male;Male;Male;Female;Male;Male","2",NA,"Non-hispanic",NA,"3+"
"2010-00044347","01/27/2010","11:05:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Female","2","White","Non-hispanic","Male","2"
"2012-00137104","03/31/2012","03:17:00","AM",3,"White;White;Asian","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2013-00070997","02/17/2013","01:02:00","AM",1,"White","Non-hispanic","Male","2",NA,"Non-hispanic",NA,"1"
"2017-00305948","08/06/2017","04:02:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2016-00262407","06/27/2016","05:03:00","PM",3,"White;Black;Black","Non-hispanic;Non-hispanic;Non-hispanic","Male;Female;Male","1","Black","Non-hispanic","Male","3+"
"2015-00340061","08/20/2015","02:05:00","AM",4,"White;White;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Hispanic","Male;Male;Male;Male","2","White;White","Non-hispanic;Non-hispanic","Female;Male","3+"
"2015-00493296","12/01/2015","10:25:00","PM",4,"White;White;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Hispanic","Female;Female;Male;Male","2","Black","Non-hispanic","Male","3+"
"2009-00506774","10/25/2009","12:27:00","AM",4,"White;White;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Female;Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2010-00041362","01/25/2010","05:32:00","PM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","1","White","Non-hispanic","Male","3+"
"2015-00077859","02/23/2015","02:15:00","AM",1,"White","Non-hispanic","Female","2",NA,"Non-hispanic;Hispanic;Hispanic",NA,"1"
"2010-00452590","09/24/2010","02:21:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","White","Non-hispanic","Male","2"
"2011-00455949","10/14/2011","06:36:00","PM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2",NA,"Non-hispanic",NA,"3+"
"2014-00211832","05/21/2014","02:05:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","White","Non-hispanic","Male","2"
"2009-00243473","05/24/2009","02:24:00","AM",3,"White;Black;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","White;White","Hispanic;Hispanic","Female;Female","3+"
"2014-00257695","06/20/2014","02:25:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2",NA,"Non-hispanic",NA,"2"
"2012-00424036","10/12/2012","07:06:00","PM",1,"White","Non-hispanic","Male","2",NA,"Non-hispanic",NA,"1"
"2011-00339113","08/01/2011","12:13:00","PM",2,"Black;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2016-00042290","01/29/2016","09:26:00","PM",2,"White;White","Hispanic;Hispanic","Male;Male","1","White","Non-hispanic","Male","2"
"2009-00390486","08/16/2009","05:47:00","PM",1,"White","Non-hispanic","Male","1","Black","Non-hispanic","Male","1"
"2015-00365825","09/05/2015","11:17:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2013-00037280","01/26/2013","02:42:00","AM",3,"Black;Asian;Black","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2",NA,"Non-hispanic;Non-hispanic",NA,"3+"
"2011-00182376","04/24/2011","02:42:00","AM",1,"White","Hispanic","Male","2","White","Non-hispanic","Male","1"
"2009-00014766","01/10/2009","02:15:00","AM",1,"White","Non-hispanic","Male","2","White","Hispanic","Male","1"
"2014-00248693","06/14/2014","01:51:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","White","Hispanic","Male","2"
"2014-00095577","03/06/2014","12:14:00","PM",1,"White","Non-hispanic","Male","1","Black","Non-hispanic","Male","1"
"2014-00273896","07/01/2014","04:53:00","AM",1,"White","Non-hispanic","Male","2",NA,"Non-hispanic",NA,"1"
"2009-00114745","03/11/2009","02:40:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","","Black","Non-hispanic","Male","2"
"2010-00250319","05/28/2010","03:24:00","PM",2,"White;White","Hispanic;Non-hispanic","Male;Male","","White","Non-hispanic","Male","2"
"2013-00400512","09/25/2013","03:26:00","AM",1,"White","Non-hispanic","Male","","Black","Non-hispanic","Male","1"
"2013-00240256","06/11/2013","11:07:00","PM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Female","2","Black;Black","Non-hispanic;Non-hispanic","Male;Male","3+"
"2013-00402330","09/26/2013","09:25:00","AM",2,"Black;Asian","Non-hispanic;Non-hispanic","Male;Male","2","White","Non-hispanic","Male","2"
"2015-00036438","01/26/2015","04:36:00","AM",6,"White;White;White;White;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic;","Female;Male;Female;Male;Male;Male","1","Black","Non-hispanic","Male","3+"
"2011-00242202","06/01/2011","04:07:00","PM",3,"White;White;White","Hispanic;Non-hispanic;Hispanic","Male;Male;Male","2",NA,"Non-hispanic",NA,"3+"
"2015-00284190","07/12/2015","02:40:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2",NA,"Non-hispanic",NA,"2"
"2012-00447786","10/29/2012","12:06:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2012-00324071","08/05/2012","11:23:00","AM",3,"White;Black;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2",NA,"Non-hispanic",NA,"3+"
"2014-00464199","11/08/2014","08:24:00","PM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2",NA,"Non-hispanic",NA,"3+"
"2016-00139340","04/04/2016","10:53:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2017-00051454","02/07/2017","09:25:00","AM",1,"Black","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2016-00462637","11/16/2016","03:31:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Female","2","White","Hispanic","Male","2"
"2010-00324149","07/10/2010","01:14:00","AM",1,"White","Hispanic","Male","2","Black","Non-hispanic","Male","1"
"2009-00422304","09/04/2009","11:39:00","PM",4,"White;White;White;White","Hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2010-00240403","05/23/2010","12:48:00","AM",2,"White;White","Hispanic;Non-hispanic","Male;Female","","Black","Non-hispanic","Male","2"
"2010-00525269","11/09/2010","09:29:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2014-00103569","03/11/2014","07:09:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2012-00483388","11/22/2012","06:03:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","White","Non-hispanic","Male","2"
"2016-00368334","09/09/2016","09:45:00","PM",1,"White","Hispanic","Male","2","White","Non-hispanic","Male","1"
"2011-00068250","02/12/2011","01:36:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","White","Non-hispanic","Male","2"
"2013-00108199","03/13/2013","08:42:00","PM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2",NA,"Non-hispanic",NA,"3+"
"2016-00017909","01/13/2016","01:19:00","PM",1,"Black","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2016-00064565","02/14/2016","01:21:00","AM",3,"White;White;White","Non-hispanic;Hispanic;Non-hispanic","Male;Male;Male","2","White","Non-hispanic","Male","3+"
"2011-00495729","11/09/2011","08:33:00","PM",3,"White;White;White","Hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","White","Non-hispanic","Male","3+"
"2017-00197788","05/21/2017","02:13:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","White;White","Non-hispanic;Non-hispanic","Male;Male","2"
"2013-00093198","03/03/2013","10:10:00","PM",2,"Asian;White","Non-hispanic;Non-hispanic","Male;Male","2",NA,"Non-hispanic",NA,"2"
"2014-00150791","04/12/2014","03:41:00","AM",1,"White","Non-hispanic","Male","2","White","Non-hispanic","Male","1"
"2013-00005424","01/04/2013","08:41:00","PM",2,NA,"Non-hispanic;Hispanic","Male;Male","",NA,"Non-hispanic",NA,"2"
"2013-00358536","08/29/2013","02:44:00","AM",1,"White","Hispanic","Male","2",NA,"Non-hispanic",NA,"1"
"2011-00180867","04/23/2011","02:41:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Female","2","Black","Non-hispanic","Male","2"
"2014-00189387","05/07/2014","02:22:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Female","2","Black;Black","Non-hispanic;Non-hispanic","Female;Male","2"
"2017-00118393","03/26/2017","06:24:00","PM",4,"Black;Black;White;White","Non-hispanic;Non-hispanic;Hispanic;Non-hispanic","Male;Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2010-00583286","12/16/2010","03:36:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","Black","Non-hispanic","Male","2"
"2010-00528523","11/11/2010","01:30:00","AM",4,"White;Asian;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male;Male","2","Black;White","Non-hispanic;Non-hispanic","Male;Female","3+"
"2015-00414584","10/08/2015","01:42:00","PM",1,"Black","Non-hispanic","Male","1","White","Non-hispanic","Male","1"
"2017-00019925","01/16/2017","02:43:00","AM",2,"Black;White","Non-hispanic;Non-hispanic","Female;Male","2","White","Non-hispanic","Male","2"
"2013-00511394","12/06/2013","11:38:00","PM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2010-00348450","07/24/2010","10:53:00","PM",2,"White;White","Hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Female","2"
"2009-00013390","01/09/2009","12:46:00","PM",4,"White;Asian;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male;Female","2","Black","Non-hispanic","Male","3+"
"2009-00122099","03/14/2009","11:26:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","White","Non-hispanic","Male","2"
"2015-00106745","03/14/2015","03:49:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2017-00062788","02/15/2017","06:40:00","AM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Female","1"
"2017-00114767","03/24/2017","02:17:00","AM",1,"White","Hispanic","Male","2","Black","Non-hispanic","Male","1"
"2014-00383478","09/13/2014","01:23:00","PM",1,"White","Non-hispanic","Female","2","Black","Non-hispanic","Male","1"
