"Incident Number","date","time","hour","Officers Involved","Officers.Race","Officers.Ethnicity","Officers.Sex","UOF.Level","Offenders.Race","Offenders.Ethnicity","Offenders.Sex","Binning Number of Officers"
"2015-00385620","09/19/2015","01:43:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","Black","Non-hispanic","Male","2"
"2011-00052476","02/02/2011","09:56:00","PM",3,"White;Black;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","1","White","Non-hispanic","Male","3+"
"2012-00475172","11/16/2012","10:57:00","PM",1,"White","Hispanic","Male","","Black","Non-hispanic","Male","1"
"2012-00487316","11/25/2012","09:40:00","PM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2016-00066847","02/15/2016","08:41:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","Black","Non-hispanic","Male","2"
"2010-00405400","08/28/2010","02:58:00","AM",1,"White","Hispanic","Male","2","White","Non-hispanic","Male","1"
"2017-00009756","01/07/2017","07:20:00","PM",4,NA,"Non-hispanic;Non-hispanic;Hispanic;Non-hispanic","Male;Male;Male;Male","1","White","Non-hispanic","Female","3+"
"2017-00059061","02/12/2017","11:05:00","AM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2017-00287286","07/24/2017","02:44:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","White","Non-hispanic","Male","2"
"2013-00255491","06/22/2013","12:55:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Female;Female;Male","2","Black","Non-hispanic","Male","3+"
"2014-00005704","01/05/2014","03:11:00","AM",6,NA,"Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic;Hispanic;","Male;Male;Male;Male;Male;Male","2",NA,"Non-hispanic",NA,"3+"
"2015-00142635","04/08/2015","12:43:00","AM",2,"Black;White","Non-hispanic;Non-hispanic","Male;Male","2","White","Non-hispanic","Male","2"
"2017-00109818","03/20/2017","10:40:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2011-00467956","10/22/2011","06:09:00","PM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","White","Non-hispanic","Male","3+"
"2015-00272732","07/04/2015","01:14:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Female;Female","2","Black;Black","Non-hispanic;Non-hispanic","Male;Female","2"
"2014-00109013","03/15/2014","02:15:00","AM",1,"White","Non-hispanic","Male","2",NA,"Non-hispanic",NA,"1"
"2009-00147176","03/29/2009","02:48:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","White","Non-hispanic","Male","2"
"2012-00177059","04/27/2012","12:09:00","AM",4,"White;White;White;White","Non-hispanic;Non-hispanic;Hispanic;Non-hispanic","Male;Male;Male;Male","1","Black","Non-hispanic","Male","3+"
"2010-00545543","11/21/2010","02:54:00","AM",1,"White","Non-hispanic","Male","2","White;White","Non-hispanic;Non-hispanic","Male;Male","1"
"2016-00174177","04/27/2016","01:22:00","PM",4,"White;Black;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Male;Female;Male;Male","2","White","Non-hispanic","Female","3+"
"2014-00226848","05/30/2014","10:22:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","White","Non-hispanic","Male","2"
"2011-00201117","05/06/2011","02:29:00","AM",1,"White","Non-hispanic","Male","2",NA,"Non-hispanic",NA,"1"
"2009-00073617","02/14/2009","07:05:00","PM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2015-00309679","07/30/2015","06:04:00","AM",1,"White","Non-hispanic","Male","1","White","Hispanic","Male","1"
"2010-00431328","09/11/2010","05:45:00","PM",5,"White;White;White;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2011-00468506","10/23/2011","01:36:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Hispanic","Male;Male;Male","2",NA,"Non-hispanic",NA,"3+"
"2012-00487258","11/25/2012","08:34:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","White","Non-hispanic","Male","2"
"2009-00297870","06/24/2009","08:55:00","PM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2009-00194205","04/25/2009","04:56:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","White","Non-hispanic","Male","2"
"2012-00077047","02/21/2012","02:43:00","PM",1,"White","Non-hispanic","Male","2","Black;Black","Non-hispanic;Non-hispanic","Female;Male","1"
"2014-00321709","08/02/2014","10:29:00","PM",1,"White","Non-hispanic","Male","2",NA,"Non-hispanic",NA,"1"
"2010-00081977","02/19/2010","04:12:00","AM",4,"White;White;White;White","Hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2015-00528166","12/25/2015","01:07:00","AM",1,"White","Hispanic","Male","2","White","Non-hispanic","Male","1"
"2009-00007373","01/06/2009","01:21:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2015-00120759","03/23/2015","08:35:00","PM",2,"Asian;Black","Non-hispanic;Non-hispanic","Female;Male","2","White","Hispanic","Male","2"
"2017-00028156","01/21/2017","10:53:00","PM",2,"Black;White","Non-hispanic;Non-hispanic","Male;Male","1","Black","Non-hispanic","Male","2"
"2011-00435719","10/01/2011","11:31:00","PM",2,"Black;White","Hispanic;Non-hispanic","Male;Male","1","White","Non-hispanic","Male","2"
"2015-00131653","03/31/2015","04:32:00","PM",2,"White;Black","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2013-00247930","06/17/2013","02:21:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Hispanic","Male;Male;Male","2",NA,"Non-hispanic",NA,"3+"
"2014-00045631","02/01/2014","02:44:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Female","2","Black","Non-hispanic","Male","2"
"2012-00354056","08/26/2012","02:10:00","AM",1,"Black","Hispanic","Male","1",NA,"Non-hispanic",NA,"1"
"2013-00165325","04/22/2013","02:38:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2",NA,"Non-hispanic",NA,"3+"
"2012-00263325","06/24/2012","01:49:00","AM",2,NA,"Hispanic;Hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2016-00046272","02/01/2016","04:33:00","PM",1,"Black","Non-hispanic","Male","2","Black;Black","Non-hispanic;Non-hispanic","Female;Female","1"
"2009-00103278","03/04/2009","08:45:00","AM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
